,Sample,208Pb,,23Na,25Mg,27Al,28Si,31P,PO4,34S,35Cl,39K,43Ca,47Ti,51V,52Cr,54Fe,55Mn,59Co,60Ni,65Cu,66Zn,75As,78Se,88Sr,95Mo,107Ag,111Cd,112Sn,137Ba,238U,bottle_number,date_collected
62,105,1.336,,4358,7727,29.34,1344.0,1172.0,3.5924430093639006,21.37,9.386,986.0,26060.0,2.083,0.5,0.5,274.1,5.127,0.5,0.5,10.88,9.424,0.5,0.5,87.2,0.5,0.5,0.5,0.5,12.33,0.5,bottle3,2016-03-01
63,106,0.5,,4682,7944,31.11,1356.0,1157.0,3.5464646432031004,22.37,10.8,1041.0,27180.0,1.961,0.5,0.5,22.73,1.011,0.5,0.5,3.611,5.243,0.5,0.5,89.45,0.5,0.5,0.5,0.5,13.27,0.5,bottle3,2016-03-01
64,110,13.51,,4340,8030,139.3,1561.0,1051.0,3.2215508556667745,21.35,9.402,954.1,25830.0,1.773,0.5,0.5,109.5,7.603,0.5,0.5,57.24,258.8,0.5,0.5,84.76,0.5,0.5,0.5,0.5,11.78,0.5,bottle3,2016-03-01
65,111,0.5,,4408,7859,15.91,1363.0,1236.0,3.7886173716499845,21.9,9.501,995.9,26410.0,2.108,0.5,0.5,39.47,1.673,0.5,0.5,16.78,6.356,0.5,0.5,88.26,0.5,0.5,0.5,0.5,13.1,0.5,bottle3,2016-03-01
66,113,0.5,,4437,7530,35.63,1383.0,1222.0,3.7457042298999035,22.68,9.798,1013.0,26180.0,2.149,0.5,0.5,39.64,1.923,0.5,0.5,63.87,31.0,0.5,0.5,84.95,0.5,0.5,0.5,0.5,12.22,0.5,bottle3,2016-03-01
67,114,0.5,,4379,7789,12.46,1323.0,1184.0,3.6292257022925414,21.47,9.312,983.5,26050.0,2.183,0.5,0.5,49.83,2.018,0.5,0.5,6.66,1.64,0.5,0.5,87.42,0.5,0.5,0.5,0.5,12.19,0.5,bottle3,2016-03-01
68,119,0.5,,4560,7739,14.99,1299.0,1289.0,3.9510742654181468,20.5,9.31,967.2,27150.0,2.655,0.5,0.5,12.0,0.5,0.5,0.5,19.19,4.486,0.5,0.5,89.9,0.5,0.5,0.5,0.5,13.55,0.5,bottle3,2016-03-01
69,121,1.175,,4780,7858,18.74,1383.0,1258.0,3.8560523086858254,22.09,9.705,1073.0,26050.0,2.046,0.5,0.5,98.65,2.626,0.5,3.255,15.19,13.94,0.5,0.5,84.14,0.5,0.5,0.5,0.5,12.72,0.5,bottle3,2016-03-01
70,126,0.5,,4780,7850,8.354,1393.0,1236.0,3.7886173716499845,22.71,9.892,1068.0,26430.0,2.068,0.5,0.5,27.19,1.798,0.5,0.5,8.646,21.28,0.5,0.5,83.22,0.5,0.5,0.5,0.5,11.8,0.5,bottle3,2016-03-01
71,127,0.5,,4740,7836,8.77,1494.0,1130.0,3.463703584113659,22.01,9.761,1074.0,26850.0,1.96,0.5,0.5,15.51,0.5,0.5,0.5,2.814,1.717,0.5,0.5,84.06,0.5,0.5,0.5,0.5,11.72,0.5,bottle3,2016-03-01
72,130,0.5,,4678,7935,7.771,1335.0,1143.0,3.5035515014530194,21.97,9.645,983.8,28180.0,2.343,0.5,0.5,202.5,4.926,0.5,0.5,16.02,12.93,0.5,0.5,91.56,0.5,0.5,0.5,0.5,12.32,0.5,bottle3,2016-03-01
73,132,0.5,,4683,7905,9.236,1366.0,1209.0,3.705856312560543,21.48,9.454,996.8,28020.0,2.396,0.5,0.5,71.19,1.777,0.5,0.5,1.607,0.5,0.5,0.5,90.86,0.5,0.5,0.5,0.5,12.66,0.5,bottle3,2016-03-01
74,135,0.5,,4843,7728,16.42,1450.0,887.9,2.7216127542783344,21.53,10.76,1022.0,27700.0,1.753,0.5,0.5,12.89,0.5,0.5,0.5,6.696,997.5,0.5,0.5,91.68,0.5,0.5,3.663,3.581,12.91,0.5,bottle3,2016-03-01
75,137,1.928,,4493,7934,18.35,1352.0,1179.0,3.613899580238941,22.55,9.599,999.9,26560.0,2.118,0.5,0.5,50.92,2.073,0.5,0.5,8.027,126.4,0.5,0.5,87.46,0.5,0.5,0.5,0.5,12.15,0.5,bottle3,2016-03-01
76,138,3.875,,4618,7581,25.66,1415.0,1034.0,3.1694420406845336,22.72,10.61,1019.0,26130.0,1.761,0.5,0.5,51.53,6.771,0.5,10.3,72.79,299.3,0.5,0.5,86.54,0.5,0.5,0.5,0.5,11.94,0.5,bottle3,2016-03-01
77,143,0.5,,4432,7809,14.85,1356.0,1170.0,3.586312560542461,22.09,9.751,999.5,26410.0,2.044,0.5,0.5,19.1,1.23,0.5,0.5,7.265,2.754,0.5,0.5,88.17,0.5,0.5,0.5,0.5,12.77,0.5,bottle3,2016-03-01
78,144,0.5,,4408,7772,10.71,1346.0,1182.0,3.623095253471101,21.8,9.406,1003.0,26310.0,1.923,0.5,0.5,47.19,2.006,0.5,0.5,3.154,0.5,0.5,0.5,86.77,0.5,0.5,0.5,0.5,12.08,0.5,bottle3,2016-03-01
79,149,0.5,,4421,7859,8.642,1376.0,1116.0,3.420790442363578,22.41,9.73,997.0,26410.0,2.051,0.5,0.5,71.41,1.036,0.5,0.5,26.98,3.884,0.5,0.5,88.31,0.5,0.5,0.5,0.5,11.69,0.5,bottle3,2016-03-01
80,150,0.5,,4381,7828,10.05,1400.0,1137.0,3.4851601549886992,21.42,9.297,985.8,26450.0,1.692,0.5,0.5,30.14,0.5,0.5,0.5,11.04,1.276,0.5,0.5,87.54,0.5,0.5,0.5,0.5,12.28,0.5,bottle3,2016-03-01
81,152,3.275,,4621,7803,14.43,1316.0,1340.0,4.10740071036487,20.53,9.31,983.5,27210.0,2.844,0.5,0.5,20.61,1.279,0.5,0.5,5.028,3.738,0.5,0.5,89.8,0.5,0.5,0.5,0.5,13.17,0.5,bottle3,2016-03-01
82,153,0.5,,4463,7532,15.12,1436.0,1173.0,3.595508233774621,22.59,9.779,1007.0,26630.0,2.16,0.5,0.5,35.74,1.193,0.5,0.5,6.876,2.457,0.5,0.5,86.35,0.5,0.5,0.5,0.5,12.18,0.5,bottle3,2016-03-01
83,154,0.5,,4815,7859,9.727,1375.0,1199.0,3.675204068453342,22.41,9.78,1083.0,26140.0,1.892,0.5,0.5,54.14,2.434,0.5,0.5,4.258,3.034,0.5,0.5,83.9,0.5,0.5,0.5,0.5,11.74,0.5,bottle3,2016-03-01
84,155,1.067,,4424,7849,11.42,1392.0,1108.0,3.3962686470778176,22.06,9.432,988.3,26150.0,2.024,0.5,0.5,46.92,1.621,0.5,0.5,5.586,36.24,0.5,0.5,87.41,0.5,0.5,0.5,0.5,12.02,0.5,bottle3,2016-03-01
85,157,0.5,,4606,7782,31.02,1283.0,1304.0,3.997052631578948,22.02,9.388,972.5,27400.0,2.718,0.5,0.5,22.39,1.203,0.5,0.5,1.521,51.99,0.5,0.5,90.27,0.5,0.5,0.5,0.5,13.27,0.5,bottle3,2016-03-01
86,158,0.5,,4432,7841,8.872,1381.0,1134.0,3.475964481756539,21.99,9.579,998.2,26170.0,1.801,0.5,0.5,176.3,4.58,0.5,0.5,6.561,16.01,0.5,0.5,86.73,0.5,0.5,0.5,0.5,12.12,0.5,bottle3,2016-03-01
87,159,0.5,,4658,7849,4.873,1320.0,1176.0,3.6047039070067814,21.06,9.534,984.7,27720.0,2.358,0.5,0.5,117.8,3.632,0.5,0.5,10.0,5.775,0.5,0.5,90.3,0.5,0.5,0.5,0.5,11.58,0.5,bottle3,2016-03-01
